season_label,season_key,season_type,as_of_date,team,team_icon,team_color,gp,w,l,t,pts,gf,ga,diff
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,1,1,0,0,2,3,2,1
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,1,1,0,0,2,10,2,8
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,1,1,0,0,2,5,0,5
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,1,0,1,0,0,0,5,-5
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,1,0,1,0,0,2,10,-8
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,1,0,1,0,0,2,3,-1
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,2,2,0,0,4,8,5,3
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,2,2,0,0,4,16,6,10
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,2,1,1,0,2,8,5,3
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,2,0,2,0,0,4,11,-7
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,2,0,2,0,0,3,17,-14
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,2,1,1,0,2,9,4,5
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,3,2,1,0,4,10,12,-2
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,3,3,0,0,6,21,8,13
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,3,2,1,0,4,14,10,4
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,3,1,2,0,2,11,13,-2
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,3,0,3,0,0,8,23,-15
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,3,1,2,0,2,11,9,2
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,4,3,1,0,6,18,14,4
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,4,3,1,0,6,23,14,9
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,4,3,1,0,6,20,12,8
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,4,2,2,0,4,20,18,2
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,4,0,4,0,0,10,31,-21
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,4,1,3,0,2,16,18,-2
Playoffs 2021-2022,2021-2022,playoffs,2022-04-04,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,5,3,2,0,6,20,17,3
Playoffs 2021-2022,2021-2022,playoffs,2022-04-04,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,5,4,1,0,8,26,16,10
Playoffs 2021-2022,2021-2022,playoffs,2022-04-04,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,5,4,1,0,8,28,13,15
Playoffs 2021-2022,2021-2022,playoffs,2022-04-04,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,5,2,3,0,4,22,25,-3
Playoffs 2021-2022,2021-2022,playoffs,2022-04-04,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,5,1,4,0,2,17,33,-16
Playoffs 2021-2022,2021-2022,playoffs,2022-04-04,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,5,1,4,0,2,17,26,-9
Playoffs 2021-2022,2021-2022,playoffs,2022-04-06,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,6,3,3,0,6,24,22,2
Playoffs 2021-2022,2021-2022,playoffs,2022-04-06,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,6,4,2,0,8,29,23,6
Playoffs 2021-2022,2021-2022,playoffs,2022-04-06,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,6,4,2,0,8,30,20,10
Playoffs 2021-2022,2021-2022,playoffs,2022-04-06,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,6,3,3,0,6,29,27,2
Playoffs 2021-2022,2021-2022,playoffs,2022-04-06,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,6,2,4,0,4,24,36,-12
Playoffs 2021-2022,2021-2022,playoffs,2022-04-06,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,6,2,4,0,4,22,30,-8
Playoffs 2021-2022,2021-2022,playoffs,2022-04-11,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,7,3,3,1,7,30,28,2
Playoffs 2021-2022,2021-2022,playoffs,2022-04-11,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,7,4,3,0,8,29,30,-1
Playoffs 2021-2022,2021-2022,playoffs,2022-04-11,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,7,4,2,1,9,36,26,10
Playoffs 2021-2022,2021-2022,playoffs,2022-04-11,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,7,4,3,0,8,36,27,9
Playoffs 2021-2022,2021-2022,playoffs,2022-04-11,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,7,3,4,0,6,30,38,-8
Playoffs 2021-2022,2021-2022,playoffs,2022-04-11,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,7,2,5,0,4,24,36,-12
Playoffs 2021-2022,2021-2022,playoffs,2022-04-14,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,8,3,4,1,7,31,37,-6
Playoffs 2021-2022,2021-2022,playoffs,2022-04-14,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,8,5,3,0,10,37,34,3
Playoffs 2021-2022,2021-2022,playoffs,2022-04-14,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,8,4,2,2,10,42,32,10
Playoffs 2021-2022,2021-2022,playoffs,2022-04-14,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,8,5,3,0,10,45,28,17
Playoffs 2021-2022,2021-2022,playoffs,2022-04-14,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,8,3,4,1,7,36,44,-8
Playoffs 2021-2022,2021-2022,playoffs,2022-04-14,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,8,2,6,0,4,28,44,-16
Playoffs 2021-2022,2021-2022,playoffs,2022-04-18,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,9,3,5,1,7,34,46,-12
Playoffs 2021-2022,2021-2022,playoffs,2022-04-18,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,9,5,4,0,10,39,38,1
Playoffs 2021-2022,2021-2022,playoffs,2022-04-18,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,9,5,2,2,12,46,34,12
Playoffs 2021-2022,2021-2022,playoffs,2022-04-18,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,9,5,4,0,10,47,31,16
Playoffs 2021-2022,2021-2022,playoffs,2022-04-18,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,9,4,4,1,9,45,47,-2
Playoffs 2021-2022,2021-2022,playoffs,2022-04-18,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,9,3,6,0,6,31,46,-15
Playoffs 2021-2022,2021-2022,playoffs,2022-04-21,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,10,3,6,1,7,39,56,-17
Playoffs 2021-2022,2021-2022,playoffs,2022-04-21,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,10,6,4,0,12,49,43,6
Playoffs 2021-2022,2021-2022,playoffs,2022-04-21,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,10,6,2,2,14,55,35,20
Playoffs 2021-2022,2021-2022,playoffs,2022-04-21,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,10,6,4,0,12,54,37,17
Playoffs 2021-2022,2021-2022,playoffs,2022-04-21,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,10,4,5,1,9,51,54,-3
Playoffs 2021-2022,2021-2022,playoffs,2022-04-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,10,3,7,0,6,32,55,-23
Playoffs 2021-2022,2021-2022,playoffs,2022-04-23,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,11,4,6,1,9,46,60,-14
Playoffs 2021-2022,2021-2022,playoffs,2022-04-23,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,10,6,4,0,12,49,43,6
Playoffs 2021-2022,2021-2022,playoffs,2022-04-23,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,10,6,2,2,14,55,35,20
Playoffs 2021-2022,2021-2022,playoffs,2022-04-23,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,10,6,4,0,12,54,37,17
Playoffs 2021-2022,2021-2022,playoffs,2022-04-23,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,10,4,5,1,9,51,54,-3
Playoffs 2021-2022,2021-2022,playoffs,2022-04-23,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,11,3,8,0,6,36,62,-26
Regular Season 2021-2022,2021-2022,regular,2021-11-01,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,1,0,1,0,0,3,5,-2
Regular Season 2021-2022,2021-2022,regular,2021-11-01,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,1,0,1,0,0,4,5,-1
Regular Season 2021-2022,2021-2022,regular,2021-11-01,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,1,0,1,0,0,3,5,-2
Regular Season 2021-2022,2021-2022,regular,2021-11-01,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,1,1,0,0,2,5,3,2
Regular Season 2021-2022,2021-2022,regular,2021-11-01,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,1,1,0,0,2,5,4,1
Regular Season 2021-2022,2021-2022,regular,2021-11-01,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,1,1,0,0,2,5,3,2
Regular Season 2021-2022,2021-2022,regular,2021-11-04,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,2,0,1,1,1,6,8,-2
Regular Season 2021-2022,2021-2022,regular,2021-11-04,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,2,1,1,0,2,9,9,0
Regular Season 2021-2022,2021-2022,regular,2021-11-04,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,2,0,1,1,1,6,8,-2
Regular Season 2021-2022,2021-2022,regular,2021-11-04,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,2,1,1,0,2,9,8,1
Regular Season 2021-2022,2021-2022,regular,2021-11-04,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,2,2,0,0,4,15,12,3
Regular Season 2021-2022,2021-2022,regular,2021-11-04,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,2,1,1,0,2,13,13,0
Regular Season 2021-2022,2021-2022,regular,2021-11-08,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,3,1,1,1,3,11,10,1
Regular Season 2021-2022,2021-2022,regular,2021-11-08,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,3,1,2,0,2,13,15,-2
Regular Season 2021-2022,2021-2022,regular,2021-11-08,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,3,0,2,1,1,9,14,-5
Regular Season 2021-2022,2021-2022,regular,2021-11-08,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,3,1,2,0,2,11,13,-2
Regular Season 2021-2022,2021-2022,regular,2021-11-08,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,3,3,0,0,6,21,15,6
Regular Season 2021-2022,2021-2022,regular,2021-11-08,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,3,2,1,0,4,19,17,2
Regular Season 2021-2022,2021-2022,regular,2021-11-11,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,4,1,2,1,3,18,18,0
Regular Season 2021-2022,2021-2022,regular,2021-11-11,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,4,2,2,0,4,18,18,0
Regular Season 2021-2022,2021-2022,regular,2021-11-11,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,4,0,3,1,1,12,19,-7
Regular Season 2021-2022,2021-2022,regular,2021-11-11,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,4,2,2,0,4,18,18,0
Regular Season 2021-2022,2021-2022,regular,2021-11-11,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,4,4,0,0,8,29,22,7
Regular Season 2021-2022,2021-2022,regular,2021-11-11,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,4,2,2,0,4,24,24,0
Regular Season 2021-2022,2021-2022,regular,2021-11-15,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,5,1,3,1,3,21,24,-3
Regular Season 2021-2022,2021-2022,regular,2021-11-15,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,5,3,2,0,6,24,21,3
Regular Season 2021-2022,2021-2022,regular,2021-11-15,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,5,0,4,1,1,13,26,-13
Regular Season 2021-2022,2021-2022,regular,2021-11-15,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,5,3,2,0,6,24,22,2
Regular Season 2021-2022,2021-2022,regular,2021-11-15,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,5,4,1,0,8,33,28,5
Regular Season 2021-2022,2021-2022,regular,2021-11-15,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,5,3,2,0,6,31,25,6
Regular Season 2021-2022,2021-2022,regular,2021-11-18,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,6,1,4,1,3,23,30,-7
Regular Season 2021-2022,2021-2022,regular,2021-11-18,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,6,4,2,0,8,28,24,4
Regular Season 2021-2022,2021-2022,regular,2021-11-18,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,6,0,5,1,1,16,30,-14
Regular Season 2021-2022,2021-2022,regular,2021-11-18,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,6,4,2,0,8,28,25,3
Regular Season 2021-2022,2021-2022,regular,2021-11-18,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,6,4,2,0,8,36,32,4
Regular Season 2021-2022,2021-2022,regular,2021-11-18,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,6,4,2,0,8,37,27,10
Regular Season 2021-2022,2021-2022,regular,2021-11-22,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,7,1,5,1,3,24,34,-10
Regular Season 2021-2022,2021-2022,regular,2021-11-22,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,7,5,2,0,10,31,26,5
Regular Season 2021-2022,2021-2022,regular,2021-11-22,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,7,1,5,1,3,20,31,-11
Regular Season 2021-2022,2021-2022,regular,2021-11-22,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,7,4,3,0,8,30,28,2
Regular Season 2021-2022,2021-2022,regular,2021-11-22,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,7,5,2,0,10,43,36,7
Regular Season 2021-2022,2021-2022,regular,2021-11-22,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,7,4,3,0,8,41,34,7
Regular Season 2021-2022,2021-2022,regular,2021-11-25,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,8,1,6,1,3,28,39,-11
Regular Season 2021-2022,2021-2022,regular,2021-11-25,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,8,5,3,0,10,35,32,3
Regular Season 2021-2022,2021-2022,regular,2021-11-25,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,8,2,5,1,5,26,36,-10
Regular Season 2021-2022,2021-2022,regular,2021-11-25,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,8,5,3,0,10,35,32,3
Regular Season 2021-2022,2021-2022,regular,2021-11-25,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,8,5,3,0,10,48,42,6
Regular Season 2021-2022,2021-2022,regular,2021-11-25,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,8,5,3,0,10,47,38,9
Regular Season 2021-2022,2021-2022,regular,2021-11-29,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,9,2,6,1,5,34,43,-9
Regular Season 2021-2022,2021-2022,regular,2021-11-29,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,9,6,3,0,12,43,36,7
Regular Season 2021-2022,2021-2022,regular,2021-11-29,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,9,2,6,1,5,30,44,-14
Regular Season 2021-2022,2021-2022,regular,2021-11-29,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,9,6,3,0,12,42,35,7
Regular Season 2021-2022,2021-2022,regular,2021-11-29,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,9,5,4,0,10,52,48,4
Regular Season 2021-2022,2021-2022,regular,2021-11-29,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,9,5,4,0,10,50,45,5
Regular Season 2021-2022,2021-2022,regular,2021-12-02,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,10,2,7,1,5,37,47,-10
Regular Season 2021-2022,2021-2022,regular,2021-12-02,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,10,7,3,0,14,47,39,8
Regular Season 2021-2022,2021-2022,regular,2021-12-02,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,10,2,7,1,5,34,50,-16
Regular Season 2021-2022,2021-2022,regular,2021-12-02,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,10,7,3,0,14,51,41,10
Regular Season 2021-2022,2021-2022,regular,2021-12-02,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,10,5,5,0,10,58,57,1
Regular Season 2021-2022,2021-2022,regular,2021-12-02,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,10,6,4,0,12,56,49,7
Regular Season 2021-2022,2021-2022,regular,2021-12-06,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,11,2,8,1,5,44,57,-13
Regular Season 2021-2022,2021-2022,regular,2021-12-06,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,11,8,3,0,16,56,44,12
Regular Season 2021-2022,2021-2022,regular,2021-12-06,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,10,2,7,1,5,34,50,-16
Regular Season 2021-2022,2021-2022,regular,2021-12-06,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,10,7,3,0,14,51,41,10
Regular Season 2021-2022,2021-2022,regular,2021-12-06,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,11,5,6,0,10,63,66,-3
Regular Season 2021-2022,2021-2022,regular,2021-12-06,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,11,7,4,0,14,66,56,10
Regular Season 2021-2022,2021-2022,regular,2021-12-09,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,12,2,9,1,5,47,62,-15
Regular Season 2021-2022,2021-2022,regular,2021-12-09,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,12,9,3,0,18,64,47,17
Regular Season 2021-2022,2021-2022,regular,2021-12-09,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,11,3,7,1,7,39,53,-14
Regular Season 2021-2022,2021-2022,regular,2021-12-09,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,11,7,4,0,14,54,49,5
Regular Season 2021-2022,2021-2022,regular,2021-12-09,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,12,5,7,0,10,69,77,-8
Regular Season 2021-2022,2021-2022,regular,2021-12-09,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,12,8,4,0,16,77,62,15
Regular Season 2021-2022,2021-2022,regular,2021-12-13,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,13,3,9,1,7,54,68,-14
Regular Season 2021-2022,2021-2022,regular,2021-12-13,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,13,10,3,0,20,72,49,23
Regular Season 2021-2022,2021-2022,regular,2021-12-13,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,12,4,7,1,9,45,58,-13
Regular Season 2021-2022,2021-2022,regular,2021-12-13,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,12,7,5,0,14,60,56,4
Regular Season 2021-2022,2021-2022,regular,2021-12-13,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,13,5,8,0,10,74,83,-9
Regular Season 2021-2022,2021-2022,regular,2021-12-13,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,13,8,5,0,16,79,70,9
Regular Season 2021-2022,2021-2022,regular,2022-01-31,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,14,3,9,2,8,60,74,-14
